//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		884.00	0	1.2680	0	34.7090	0	27.793	0	210.2	0	60.6	0		8	0.03	0	0.000100	0	2.95	0	7.8324	0	7.5369	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		882.00	0	1.2680	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.04	0	0.000099	0	2.96	0	7.8322	0	7.5367	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		880.00	0	1.2700	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.03	0	0.000098	0	2.96	0	7.8318	0	7.5363	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		878.00	0	1.2700	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.03	0	0.000120	0	2.93	0	7.8322	0	7.5365	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		875.90	0	1.2700	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.03	0	0.000100	0	2.95	0	7.8324	0	7.5367	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		874.00	0	1.2700	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.03	0	0.000099	0	2.96	0	7.8321	0	7.5364	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		872.00	0	1.2720	0	34.7090	0	27.793	0	210.0	0	60.5	0		8	0.03	0	0.000099	0	2.96	0	7.8324	0	7.5366	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		870.00	0	1.2720	0	34.7090	0	27.793	0	210.1	0	60.6	0		8	0.03	0	0.000103	0	2.95	0	7.8327	0	7.5368	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		868.00	0	1.2720	0	34.7090	0	27.793	0	210.0	0	60.5	0		8	0.03	0	0.000106	0	2.96	0	7.8327	0	7.5367	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		865.90	0	1.2710	0	34.7090	0	27.793	0	210.0	0	60.5	0		8	0.03	0	0.000102	0	2.96	0	7.8326	0	7.5366	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		864.00	0	1.2690	0	34.7090	0	27.793	0	210.1	0	60.5	0		8	0.03	0	0.000099	0	2.93	0	7.8321	0	7.5360	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		862.00	0	1.2710	0	34.7090	0	27.793	0	210.0	0	60.5	0		8	0.03	0	0.000107	0	2.95	0	7.8329	0	7.5367	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		860.00	0	1.2870	0	34.7090	0	27.792	0	209.9	0	60.5	0		8	0.03	0	0.000105	0	2.96	0	7.8322	0	7.5362	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		858.00	0	1.2870	0	34.7090	0	27.792	0	209.8	0	60.5	0		8	0.03	0	0.000103	0	2.97	0	7.8320	0	7.5360	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		856.00	0	1.2880	0	34.7100	0	27.793	0	209.8	0	60.5	0		8	0.03	0	0.000100	0	2.96	0	7.8322	0	7.5361	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		854.00	0	1.2880	0	34.7090	0	27.792	0	209.8	0	60.5	0		8	0.03	0	0.000103	0	2.96	0	7.8327	0	7.5365	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		852.00	0	1.2870	0	34.7100	0	27.793	0	209.8	0	60.5	0	34.80	0	0.03	0	0.000100	0	2.97	0	7.8327	0	7.5364	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		850.00	0	1.2840	0	34.7100	0	27.793	0	209.8	0	60.5	0		8	0.03	0	0.000099	0	2.96	0	7.8327	0	7.5363	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		848.00	0	1.2830	0	34.7100	0	27.793	0	209.8	0	60.5	0		8	0.03	0	0.000134	0	2.96	0	7.8328	0	7.5363	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		846.00	0	1.2880	0	34.7090	0	27.792	0	209.8	0	60.5	0		8	0.03	0	0.000109	0	2.97	0	7.8327	0	7.5362	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		844.00	0	1.2900	0	34.7090	0	27.792	0	209.7	0	60.5	0		8	0.03	0	0.000101	0	2.95	0	7.8326	0	7.5361	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		842.00	0	1.2900	0	34.7090	0	27.792	0	209.7	0	60.5	0		8	0.03	0	0.000103	0	2.95	0	7.8329	0	7.5363	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		840.00	0	1.2910	0	34.7090	0	27.792	0	209.7	0	60.5	0		8	0.03	0	0.000101	0	2.96	0	7.8329	0	7.5363	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		838.00	0	1.2910	0	34.7090	0	27.792	0	209.7	0	60.5	0		8	0.03	0	0.000100	0	2.97	0	7.8326	0	7.5359	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		836.00	0	1.2910	0	34.7090	0	27.792	0	209.7	0	60.5	0		8	0.03	0	0.000104	0	2.96	0	7.8327	0	7.5360	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		834.00	0	1.2950	0	34.7090	0	27.791	0	209.7	0	60.5	0		8	0.03	0	0.000109	0	2.96	0	7.8331	0	7.5363	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		832.00	0	1.2990	0	34.7080	0	27.790	0	209.5	0	60.4	0		8	0.03	0	0.000103	0	2.96	0	7.8319	0	7.5352	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		830.00	0	1.3020	0	34.7080	0	27.790	0	209.5	0	60.4	0		8	0.03	0	0.000115	0	2.94	0	7.8317	0	7.5350	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		828.00	0	1.3060	0	34.7080	0	27.790	0	209.5	0	60.4	0		8	0.03	0	0.000107	0	2.96	0	7.8316	0	7.5349	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		826.00	0	1.3080	0	34.7080	0	27.790	0	209.4	0	60.4	0		8	0.03	0	0.000100	0	2.96	0	7.8313	0	7.5346	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		824.00	0	1.3140	0	34.7080	0	27.789	0	209.3	0	60.4	0		8	0.03	0	0.000109	0	2.95	0	7.8312	0	7.5345	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		822.00	0	1.3170	0	34.7080	0	27.789	0	209.2	0	60.4	0		8	0.03	0	0.000102	0	2.95	0	7.8311	0	7.5344	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		820.00	0	1.3300	0	34.7070	0	27.787	0	209.1	0	60.4	0		8	0.03	0	0.000117	0	2.97	0	7.8313	0	7.5347	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		818.00	0	1.3310	0	34.7080	0	27.788	0	208.9	0	60.3	0		8	0.03	0	0.000104	0	2.96	0	7.8313	0	7.5347	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		816.00	0	1.3320	0	34.7080	0	27.788	0	208.9	0	60.3	0		8	0.03	0	0.000104	0	2.96	0	7.8312	0	7.5345	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		814.00	0	1.3320	0	34.7080	0	27.788	0	208.8	0	60.3	0		8	0.03	0	0.000105	0	2.96	0	7.8313	0	7.5345	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		812.00	0	1.3320	0	34.7080	0	27.788	0	208.8	0	60.3	0		8	0.03	0	0.000104	0	2.95	0	7.8315	0	7.5347	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		810.00	0	1.3340	0	34.7080	0	27.788	0	208.8	0	60.3	0		8	0.04	0	0.000103	0	2.97	0	7.8315	0	7.5346	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		808.00	0	1.3330	0	34.7080	0	27.788	0	208.8	0	60.3	0		8	0.04	0	0.000102	0	2.94	0	7.8314	0	7.5344	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		806.00	0	1.3380	0	34.7080	0	27.788	0	208.8	0	60.3	0		8	0.03	0	0.000104	0	2.96	0	7.8310	0	7.5340	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		804.00	0	1.3460	0	34.7080	0	27.787	0	208.7	0	60.3	0		8	0.04	0	0.000100	0	2.97	0	7.8308	0	7.5339	0
