,Lat,Lon,Shape
298,-61.5985674791,159.15908066,1
299,-61.6818266159,158.765295866,1
300,-61.6156972102,158.000727237,1
301,-61.667447997,157.462254254,1
302,-61.5643439735,156.562013472,1
303,-61.6096330677,156.02205909,1
304,-61.5262353596,155.267245796,1
305,-61.5965473471,154.863644765,1
306,-61.5374601985,154.249525873,1
307,-61.6043402047,153.843225377,1
308,-61.4744949431,152.960881088,1
309,-61.726173829,151.999436177,1
310,-61.8716652021,150.960320563,1
311,-62.2158628859,150.370945593,1
312,-62.2066873787,150.023543893,1
313,-62.2959269547,149.732326167,1
314,-62.2849394291,149.384135098,1
315,-62.3726828117,149.089941465,1
316,-62.3220796645,148.607471083,1
317,-62.369703198,148.177139654,1
318,-62.3155388155,147.696548952,1
319,-62.3992177088,147.39659616,1
320,-62.3816238761,147.048351218,1
321,-62.4637395699,146.745633425,1
322,-62.4443049617,146.39700806,1
323,-62.5248371707,146.091580713,1
324,-62.4625431378,145.612831913,1
325,-62.499660408,145.175510843,1
326,-62.4338467093,144.699457159,1
327,-62.5101475001,144.389147561,1
328,-62.484088082,144.041977938,1
329,-62.5587478564,143.729210849,1
330,-62.5308355532,143.382088765,1
331,-62.6038366606,143.06693173,1
332,-62.5740684823,142.719952348,1
333,-62.645393871,142.402475582,1
334,-62.5689605131,141.931356798,1
335,-62.5930075653,141.488115117,1
336,-62.4673292254,140.898519967,1
337,-62.4876807949,140.456143579,1
338,-62.403991146,139.993743986,1
339,-62.4682267235,139.671378035,1
340,-62.3816238761,139.21185349,1
341,-62.3959365226,138.769853763,1
342,-62.3060280339,138.314585821,1
343,-62.4198099567,137.884557083,1
344,-62.4293660001,137.441364725,1
345,-62.5401360266,137.005647371,1
346,-62.4936698506,136.668337448,1
347,-62.6017306176,136.228376235,1
348,-62.605341091,135.781765238,1
349,-62.7102838041,135.336370575,1
350,-62.6592624152,135.0,1
351,-62.761415024,134.550630551,1
352,-62.7589921256,134.101316379,1
353,-62.908158564,133.531199286,1
354,-62.9020641286,133.079559241,1
355,-62.9973169529,132.618775167,1
356,-62.9389595068,132.284448777,1
357,-63.0312979822,131.82016988,1
358,-63.019046916,131.367049261,1
359,-63.15570072,130.776243046,1
360,-63.084050348,130.217467516,1
361,-63.1126227933,129.640632276,1
362,-62.9334672871,129.109373584,1
363,-62.9115111737,128.659808254,1
364,-62.7284242929,128.139402423,1
365,-62.7030314864,127.694240467,1
366,-62.5740684823,127.280047652,1
367,-62.6038366606,126.93306827,1
368,-62.5308355532,126.617911235,1
369,-62.5587478564,126.270789151,1
370,-62.484088082,125.958022062,1
371,-62.5101475001,125.610852439,1
372,-62.4338467093,125.300542841,1
373,-62.4580570507,124.953419859,1
374,-62.380133467,124.645632559,1
375,-62.4024993446,124.298649276,1
376,-62.2626828223,123.906276988,1
377,-62.2223766591,123.474183922,1
378,-62.0800676303,123.088784568,1
379,-62.0980313517,122.744536603,1
380,-62.0148039862,122.447496767,1
381,-62.0309564965,122.10368871,1
382,-61.9462026389,121.809389288,1
383,-62.0360492211,121.202377094,1
384,-62.023417316,120.64574437,1
385,-62.143737117,119.898901839,1
386,-62.0894895553,119.475889003,1
387,-62.1325238172,118.994324501,1
388,-62.0403592876,118.709181566,1
389,-62.0459439256,118.363603031,1
390,-61.9523512394,118.081552724,1
391,-61.9561582979,117.737003534,1
392,-61.8611606876,117.458078536,1
393,-61.8961934256,116.977738731,1
394,-61.8320052924,116.565051177,1
395,-61.8634946315,116.084162641,1
396,-61.7647896905,115.812103395,1
397,-61.7621746548,115.469924733,1
398,-61.662142593,115.201123645,1
399,-61.6881983774,114.721842185,1
400,-61.6164673678,114.317974817,1
