//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		974.00	0	3.6270	0	34.4790	0	27.410	0	175.8	0	53.7	0		8	0.02	0	0.000140	0	2.17	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		972.00	0	3.6300	0	34.4780	0	27.408	0	175.9	0	53.7	0		8	0.02	0	0.000140	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		970.00	0	3.6390	0	34.4770	0	27.407	0	175.9	0	53.7	0		8	0.02	0	0.000140	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		968.00	0	3.6470	0	34.4760	0	27.405	0	176.0	0	53.8	0		8	0.02	0	0.000140	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		966.00	0	3.6480	0	34.4730	0	27.403	0	176.3	0	53.8	0		8	0.02	0	0.000140	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		964.00	0	3.6550	0	34.4720	0	27.401	0	176.6	0	53.9	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		962.00	0	3.6620	0	34.4710	0	27.400	0	176.8	0	54.0	0		8	0.02	0	0.000138	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		960.00	0	3.6790	0	34.4690	0	27.396	0	176.9	0	54.1	0		8	0.02	0	0.000148	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		958.00	0	3.6850	0	34.4670	0	27.394	0	177.2	0	54.2	0		8	0.02	0	0.000140	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		956.00	0	3.6940	0	34.4660	0	27.393	0	177.3	0	54.2	0		8	0.02	0	0.000145	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		954.00	0	3.7020	0	34.4660	0	27.392	0	177.6	0	54.3	0		8	0.02	0	0.000140	0	2.17	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		952.00	0	3.7120	0	34.4650	0	27.390	0	177.6	0	54.3	0	34.40	0	0.02	0	0.000138	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		950.00	0	3.7220	0	34.4630	0	27.387	0	177.8	0	54.4	0		8	0.02	0	0.000141	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		948.00	0	3.7380	0	34.4620	0	27.385	0	178.0	0	54.5	0		8	0.02	0	0.000137	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		946.00	0	3.7420	0	34.4620	0	27.385	0	178.1	0	54.5	0		8	0.02	0	0.000140	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		944.00	0	3.7540	0	34.4620	0	27.383	0	178.1	0	54.5	0		8	0.02	0	0.000144	0	2.16	0
